sal_code_2021,name,state,population,suburb_area_sq_km,Median_rent_weekly_x,Median_rent_weekly_y,median_rent_weekly
SAL10001,Aarons Pass,NSW,33.0,117.67,0.0,0.0,0.0
SAL10002,Abbotsbury,NSW,4200.0,7.24,550.0,550.0,550.0
SAL10003,Abbotsford (Nsw),NSW,5431.0,1.48,550.0,550.0,550.0
SAL10004,Abercrombie,NSW,1127.0,4.28,393.0,393.0,393.0
SAL10005,Abercrombie River,NSW,21.0,185.11,300.0,300.0,300.0
SAL10006,Aberdare,NSW,2542.0,4.68,303.0,303.0,303.0
SAL10007,Aberdeen (Nsw),NSW,2051.0,58.28,280.0,280.0,280.0
SAL10008,Aberfoyle,NSW,121.0,457.67,210.0,210.0,210.0
SAL10009,Aberglasslyn,NSW,6552.0,8.8,430.0,430.0,430.0
SAL10010,Abermain,NSW,2544.0,21.84,320.0,320.0,320.0
SAL10011,Abernethy,NSW,317.0,11.95,360.0,360.0,360.0
SAL10012,Abington (Nsw),NSW,29.0,234.7,0.0,0.0,0.0
SAL10013,Acacia Creek,NSW,30.0,8.12,275.0,275.0,275.0
SAL10014,Acacia Gardens,NSW,3668.0,1.45,540.0,540.0,540.0
SAL10015,Adaminaby,NSW,339.0,545.98,300.0,300.0,300.0
SAL10016,Adamstown,NSW,6335.0,4.34,395.0,395.0,395.0
SAL10017,Adamstown Heights,NSW,5621.0,3.41,475.0,475.0,475.0
SAL10018,Adelong,NSW,938.0,30.5,205.0,205.0,205.0
SAL10019,Adjungbilly,NSW,101.0,655.06,150.0,150.0,150.0
SAL10020,Afterlee,NSW,32.0,45.27,0.0,0.0,0.0
SAL10021,Agnes Banks,NSW,996.0,22.38,440.0,440.0,440.0
SAL10022,Airds,NSW,3265.0,3.48,220.0,220.0,220.0
SAL10023,Akolele,NSW,165.0,9.19,240.0,240.0,240.0
SAL10024,Albert,NSW,77.0,971.16,0.0,0.0,0.0
SAL10025,Albion Park,NSW,13826.0,13.45,460.0,460.0,460.0
SAL10026,Albion Park Rail,NSW,6920.0,10.59,390.0,390.0,390.0
SAL10027,Albury,NSW,4955.0,8.72,270.0,270.0,270.0
SAL10028,Aldavilla,NSW,1443.0,20.62,350.0,350.0,350.0
SAL10029,Alectown,NSW,151.0,394.35,160.0,160.0,160.0
SAL10030,Alexandria,NSW,9649.0,5.15,560.0,560.0,560.0
SAL10031,Alfords Point,NSW,3131.0,3.74,768.0,768.0,768.0
SAL10032,Alfredtown,NSW,80.0,112.57,265.0,265.0,265.0
SAL10033,Alice,NSW,4.0,17.43,0.0,0.0,0.0
SAL10034,Alison (Central Coast - Nsw),NSW,85.0,2.0,600.0,600.0,600.0
SAL10035,Alison (Dungog - Nsw),NSW,99.0,27.13,270.0,270.0,270.0
SAL10036,Allambie Heights,NSW,7317.0,9.68,600.0,600.0,600.0
SAL10037,Allandale (Nsw),NSW,68.0,14.85,330.0,330.0,330.0
SAL10038,Allawah,NSW,5351.0,0.85,428.0,428.0,428.0
SAL10039,Alleena,NSW,60.0,394.16,250.0,250.0,250.0
SAL10040,Allgomera,NSW,139.0,163.75,130.0,130.0,130.0
SAL10041,Allworth,NSW,190.0,25.75,300.0,300.0,300.0
SAL10042,Allynbrook,NSW,54.0,48.03,587.0,587.0,587.0
SAL10043,Alma Park,NSW,58.0,132.92,185.0,185.0,185.0
SAL10044,Alpine,NSW,141.0,33.92,300.0,300.0,300.0
SAL10045,Alstonvale,NSW,431.0,13.41,310.0,310.0,310.0
SAL10046,Alstonville,NSW,5912.0,37.7,380.0,380.0,380.0
SAL10047,Alumy Creek,NSW,86.0,12.03,310.0,310.0,310.0
SAL10048,Amaroo (Nsw),NSW,44.0,24.01,240.0,240.0,240.0
SAL10049,Ambarvale,NSW,7254.0,4.16,350.0,350.0,350.0
SAL10050,Amosfield,NSW,40.0,75.66,0.0,0.0,0.0
SAL10051,Anabranch North,NSW,6.0,2384.46,0.0,0.0,0.0
SAL10052,Anabranch South,NSW,41.0,3302.99,0.0,0.0,0.0
SAL10053,Anambah,NSW,64.0,16.41,525.0,525.0,525.0
SAL10054,Ando,NSW,49.0,174.97,163.0,163.0,163.0
SAL10055,Anembo,NSW,72.0,261.59,129.0,129.0,129.0
SAL10056,Angledale,NSW,167.0,41.72,260.0,260.0,260.0
SAL10057,Angledool,NSW,34.0,906.45,50.0,50.0,50.0
SAL10058,Anglers Reach,NSW,78.0,17.04,195.0,195.0,195.0
